month,local_hour,mean_dewpoint_C,n_years_td,td_cell_interpolated,mean_drybulb_C,n_years_t,t_cell_interpolated
1,0,9.5005,13,0,14.6528,13,0
1,1,9.3880,13,0,14.2334,13,0
1,2,9.1738,13,0,13.8403,13,0
1,3,9.1115,13,0,13.4913,13,0
1,4,8.8305,13,0,13.2039,13,0
1,5,8.6679,13,0,13.0271,13,0
1,6,8.2707,13,0,12.6100,13,0
1,7,8.2418,13,0,12.6297,13,0
1,8,8.7013,13,0,14.1698,13,0
1,9,8.6858,13,0,16.2323,13,0
1,10,8.5306,13,0,18.1191,13,0
1,11,8.3250,13,0,19.5976,13,0
1,12,8.0270,13,0,20.6329,13,0
1,13,7.6822,13,0,21.2623,13,0
1,14,7.4308,13,0,21.5356,13,0
1,15,7.5984,13,0,21.2756,13,0
1,16,7.7863,13,0,20.6083,13,0
1,17,8.2119,13,0,19.4632,13,0
1,18,9.0496,13,0,18.2978,13,0
1,19,9.3274,13,0,17.6039,13,0
1,20,9.5807,13,0,16.9201,13,0
1,21,9.6948,13,0,16.2551,13,0
1,22,9.6089,13,0,15.6972,13,0
1,23,9.6285,13,0,15.1842,13,0
2,0,9.4040,14,0,15.5787,14,0
2,1,9.1523,14,0,15.1416,14,0
2,2,9.0435,14,0,14.7112,14,0
2,3,8.8133,14,0,14.3419,14,0
2,4,8.6094,14,0,14.0869,14,0
2,5,8.6003,14,0,13.8809,14,0
2,6,8.5136,14,0,13.6795,14,0
2,7,8.3587,14,0,13.9319,14,0
2,8,8.8179,14,0,15.9094,14,0
2,9,8.6104,14,0,18.0112,14,0
2,10,8.1325,14,0,19.9264,14,0
2,11,7.5886,14,0,21.4038,14,0
2,12,6.6697,14,0,22.3286,14,0
2,13,6.2573,14,0,22.9287,14,0
2,14,6.1060,14,0,23.1769,14,0
2,15,6.2232,14,0,22.8164,14,0
2,16,6.5987,14,0,22.1452,14,0
2,17,7.2841,14,0,20.9573,14,0
2,18,8.2205,14,0,19.5785,14,0
2,19,8.9603,14,0,18.8524,14,0
2,20,9.3223,14,0,18.1699,14,0
2,21,9.4291,14,0,17.5608,14,0
2,22,9.5900,14,0,16.8579,14,0
2,23,9.4670,14,0,16.2868,14,0
3,0,10.6830,14,0,19.3542,14,0
3,1,10.7387,14,0,18.8603,14,0
3,2,10.8078,14,0,18.3859,14,0
3,3,10.7303,14,0,17.9478,14,0
3,4,10.6762,14,0,17.7019,14,0
3,5,10.5278,14,0,17.4070,14,0
3,6,10.4451,14,0,17.2120,14,0
3,7,10.6336,14,0,18.4294,14,0
3,8,10.3082,14,0,20.6621,14,0
3,9,9.2354,14,0,22.8674,14,0
3,10,8.1644,14,0,24.6961,14,0
3,11,7.2614,14,0,25.9626,14,0
3,12,6.4881,14,0,26.7214,14,0
3,13,6.0714,14,0,27.2605,14,0
3,14,5.9683,14,0,27.2161,14,0
3,15,6.0740,14,0,26.8829,14,0
3,16,6.6707,14,0,26.0376,14,0
3,17,7.7385,14,0,24.7778,14,0
3,18,8.6542,14,0,23.3039,14,0
3,19,9.5941,14,0,22.4105,14,0
3,20,10.0888,14,0,21.7671,14,0
3,21,10.3228,14,0,21.1011,14,0
3,22,10.4265,14,0,20.6169,14,0
3,23,10.4047,14,0,20.0140,14,0
4,0,11.8789,14,0,23.8159,14,0
4,1,11.9991,14,0,23.3504,14,0
4,2,12.0498,14,0,22.8541,14,0
4,3,11.9203,14,0,22.4437,14,0
4,4,11.9798,14,0,22.0659,14,0
4,5,11.8062,14,0,21.9684,14,0
4,6,11.6682,14,0,22.1921,14,0
4,7,11.8342,14,0,24.3377,14,0
4,8,10.6813,14,0,26.7047,14,0
4,9,9.2073,14,0,28.8936,14,0
4,10,7.9624,14,0,30.5892,14,0
4,11,6.9390,14,0,31.7664,14,0
4,12,6.5722,14,0,32.5955,14,0
4,13,6.7319,14,0,32.8766,14,0
4,14,6.6608,14,0,32.6600,14,0
4,15,6.8378,14,0,32.1208,14,0
4,16,7.5302,14,0,31.2855,14,0
4,17,8.4639,14,0,29.9916,14,0
4,18,9.8441,14,0,28.4588,14,0
4,19,10.9098,14,0,27.3170,14,0
4,20,11.3650,14,0,26.6209,14,0
4,21,11.5652,14,0,25.9539,14,0
4,22,11.5555,14,0,25.3156,14,0
4,23,11.8173,14,0,24.7160,14,0
5,0,13.1081,14,0,28.9559,14,0
5,1,13.2138,14,0,28.3660,14,0
5,2,13.3164,14,0,27.8551,14,0
5,3,12.9434,14,0,27.3757,14,0
5,4,13.1415,14,0,27.1238,14,0
5,5,13.0717,14,0,26.9024,14,0
5,6,12.9034,14,0,27.9119,14,0
5,7,12.4700,14,0,30.4179,14,0
5,8,11.1924,14,0,32.9053,14,0
5,9,9.5900,14,0,35.0227,14,0
5,10,8.7115,14,0,36.7359,14,0
5,11,8.1682,14,0,37.9418,14,0
5,12,7.9355,14,0,38.5241,14,0
5,13,7.6577,14,0,38.8803,14,0
5,14,7.4189,14,0,38.7041,14,0
5,15,7.7463,14,0,38.1783,14,0
5,16,8.4586,14,0,37.2847,14,0
5,17,9.2294,14,0,36.1319,14,0
5,18,10.3905,14,0,34.4882,14,0
5,19,11.5201,14,0,33.1051,14,0
5,20,11.9492,14,0,32.3093,14,0
5,21,12.2498,14,0,31.4613,14,0
5,22,12.5324,14,0,30.7088,14,0
5,23,12.6434,14,0,29.9630,14,0
6,0,12.9754,14,0,31.4576,14,0
6,1,12.8700,14,0,30.8355,14,0
6,2,12.4816,14,0,30.3978,14,0
6,3,12.0124,14,0,30.1197,14,0
6,4,11.6483,14,0,29.8978,14,0
6,5,11.1424,14,0,29.7802,14,0
6,6,10.7010,14,0,30.7963,14,0
6,7,9.9514,14,0,33.5899,14,0
6,8,9.3294,14,0,36.2666,14,0
6,9,8.5759,14,0,38.9242,14,0
6,10,7.4658,14,0,40.9656,14,0
6,11,7.0511,14,0,42.2231,14,0
6,12,6.8731,14,0,42.8527,14,0
6,13,7.0841,14,0,42.9859,14,0
6,14,7.2121,14,0,42.7727,14,0
6,15,7.2971,14,0,42.2276,14,0
6,16,7.6610,14,0,41.4198,14,0
6,17,8.3327,14,0,40.2329,14,0
6,18,9.0478,14,0,38.6968,14,0
6,19,9.7737,14,0,37.0961,14,0
6,20,10.5300,14,0,35.8619,14,0
6,21,10.9127,14,0,34.7538,14,0
6,22,11.5591,14,0,33.6483,14,0
6,23,12.1626,14,0,32.5910,14,0
7,0,18.2822,14,0,32.9710,14,0
7,1,18.1319,14,0,32.3556,14,0
7,2,17.3244,14,0,31.9935,14,0
7,3,16.7115,14,0,31.6781,14,0
7,4,15.9465,14,0,31.4822,14,0
7,5,15.2068,14,0,31.4152,14,0
7,6,14.9407,14,0,32.0959,14,0
7,7,14.4604,14,0,34.6071,14,0
7,8,13.9233,14,0,37.1752,14,0
7,9,13.1225,14,0,39.7034,14,0
7,10,12.5117,14,0,41.6438,14,0
7,11,11.8364,14,0,42.9878,14,0
7,12,11.6081,14,0,43.5523,14,0
7,13,11.9031,14,0,43.7769,14,0
7,14,12.1833,14,0,43.5658,14,0
7,15,12.6483,14,0,42.8995,14,0
7,16,13.0736,14,0,42.0468,14,0
7,17,13.6643,14,0,40.9521,14,0
7,18,14.5252,14,0,39.4431,14,0
