year,coverage_year,coverage_min_month,complete,filled_interp_h,filled_own_cell_h,filled_climatology_h,td_capped_at_db_hours,hours_above_21p9
2011,0.9816,0.9140,True,94,67,0,0,2699
2012,0.9589,0.8374,True,133,228,0,0,3217
2013,0.9687,0.9489,True,225,49,0,0,1407
2014,0.9257,0.7460,True,361,290,0,0,1585
2015,0.8571,0.0847,False,381,195,676,0,2141
2016,0.8834,0.8194,True,665,356,0,0,1647
2017,0.8737,0.7222,True,560,546,0,0,2275
2018,0.9346,0.8722,True,395,178,0,0,1976
2019,0.9373,0.9019,True,398,151,0,0,2051
2020,0.9783,0.9301,True,152,39,0,0,1995
2021,0.9779,0.8140,True,73,121,0,0,2166
2022,0.9837,0.9503,True,108,35,0,0,2447
2023,0.9798,0.9570,True,145,32,0,0,2211
2024,0.9483,0.8468,True,96,358,0,0,2478
