cycles,feasible,chiller_envelope_ok,best_pH,makeup_m3_h,acid_kg_h,water_cost_h,acid_cost_h,total_cost_h,blocking_mineral
3,True,True,8.5,26.97306046446993,1.7216875136470031,83.88621804450148,0.3271206275929306,203.60397982304448,
4,True,True,8.25,23.972636898972688,1.8151936589600521,74.55490075580505,0.3448867952024099,194.1548143789755,
5,True,True,8.25,22.47113259800177,1.7404891907359439,69.8852223797855,0.33069294623982937,189.41776959762586,
6,False,True,,,,,,,SI_silica_am
7,False,True,,,,,,,SI_silica_am
8,False,True,,,,,,,SI_silica_am
9,False,True,,,,,,,SI_silica_am
10,False,True,,,,,,,SI_silica_am
11,False,True,,,,,,,SI_silica_am
12,False,True,,,,,,,SI_silica_am
